feature,permutation_scope,auc_drop_mean,auc_drop_sd,top3_hit_drop_mean,top3_hit_drop_sd,top3_mrr_drop_mean,top3_mrr_drop_sd
same_track_runs,within-race,3.9903553816467154e-05,5.809927977149863e-05,0.0008695652173912827,0.0007099970268936571,0.0010284103979756431,0.0005399259746698792
class_adjusted_finish_percentile_weighted_6,within-race,-3.13009310508261e-05,0.0002169142535859455,0.0008695652173912715,0.0013282828101321077,-0.0010645369123629788,0.0007202063540687077
class_adjusted_finish_percentile_weighted_3,within-race,-0.00020578926274357202,6.907645981579164e-05,0.0008695652173912715,0.0007099970268936481,-0.0016847781847781518,0.0005381508708330473
recent_weighted_avg_weight_kg,within-race,-8.900287243156502e-05,0.00020535797347399844,0.000869565217391266,0.0016138447428492738,-0.00040040112866196464,0.0006116869513648602
distance_win_rate_rank,within-race,-0.00018077047890762142,0.0002461321664989325,0.0008695652173912549,0.0016138447428492896,0.001630953185301065,0.0012572833507312052
class_change_vs_recent_3,within-race,-5.7276103620684805e-05,0.00011619206863977105,0.0008695652173912549,0.0007099970268936344,-0.0004803079368296215,0.0003698367583580731
hidden_sectional_run_best_3_pct_in_race,within-race,9.285671439781539e-05,0.00011346089298753461,0.0008695652173912549,0.0007099970268936344,-0.001012967306445528,0.0006670743654154319
recent_margin_last_minus_avg3,within-race,0.0007448213696300999,0.0003710362979296058,0.0008695652173912549,0.0025268979382844386,-0.0026346745042396926,0.0016471823707445558
second_up_starts,within-race,0.00041718965550114896,0.00018008545614777054,0.0008695652173912494,0.0014779766706066106,0.0012438994178125163,0.0003964329305830538
recent_finish_percentile_weighted,within-race,-0.00012268030379953833,0.00017432724695691198,0.0008695652173912438,0.0016138447428492954,-0.0010696195913586948,0.0009068046655058071
best_run_recency_index,within-race,2.175744453312145e-05,7.92236335327858e-05,0.0007246376811593902,0.0009722034684781388,0.0009901917728005138,0.00027918855665184694
recent_finish_percentile_best_6,within-race,-6.418878582659104e-05,9.408034338411207e-05,0.0007246376811593902,0.0009722034684781388,-0.00017075597510375352,0.00045213849364274396
sectional_average_6,within-race,2.6898503339312096e-05,0.0002983009299327467,0.0007246376811593846,0.000972203468478168,-0.0002452205604378865,0.0009748229684435743
recent_6_distance_m,within-race,8.968515396835519e-05,0.00014553409225009264,0.0007246376811593791,0.0017451586346075812,0.0008218247131290934,0.0004991138954408795
current_form_strength,within-race,-0.000108422987389023,0.00012221358474204897,0.0007246376811593791,0.0007246376811593791,0.0003342780407998236,0.0007610529301610514
class_drop_from_recent_best,within-race,-0.00015191660873117296,0.00014608252938478488,0.0007246376811593791,0.0009722034684781639,3.717297195615643e-06,0.0004390018169459745
form_ceiling_minus_average,within-race,0.0001764585591718326,0.00020032421757125812,0.0007246376811593791,0.0011684431519273285,-0.0001955560542516721,0.0006642364180984866
class_adjusted_finish_percentile_weighted_3_minus_race_mean,within-race,-1.5588062334093156e-05,0.00020009460784103076,0.0007246376811593791,0.001336165863375789,-0.0005785036219818462,0.0006051248607988766
recent_last600_slope_6,within-race,0.00036569202120459996,0.00042055246889595026,0.000724637681159368,0.0022684747597824084,-0.0011576366467670519,0.0011568300008173466
class_adjusted_margin_quality_weighted_6,within-race,0.00015343265154577068,9.915847287377283e-05,0.000724637681159368,0.0017451586346075812,-0.0019954670932931574,0.0007751816945798798
jockey_recent_top3_excess,within-race,0.0008607903109822624,0.00034489456879832804,0.000724637681159368,0.0017451586346075858,-0.002444495520582418,0.0012316373867036798
recent_1_starting_price,within-race,0.0005184041764516812,0.00040793747881652303,0.000724637681159368,0.0023592493617535797,-0.002852182036964601,0.001626058815011521
recent_margin_quality_avg_6,within-race,5.247152118159626e-05,0.00015941113704468035,0.0007246376811593624,0.0018616279099514768,0.0007324133193698845,0.0008658311328610939
field_size,race-block,0.00028141244874733127,0.00016454366441573108,0.0007246376811593624,0.0017451586346075834,-0.00017996375605064952,0.000782461961791666
recent_finish_percentile_weighted_3_rank_in_race,within-race,0.0011712547399553852,0.00032417517233896233,0.0007246376811593569,0.002612718315553627,-0.0004989969772578095,0.0008218486562214691
jockey_trainer_history_smoothed_top3_rate,within-race,0.0008734975783534438,0.0007745885743997307,0.0007246376811593569,0.0033207070253303164,-0.0005569683939248615,0.000919929642330862
horse_jockey_wins,within-race,1.3886492517456439e-05,8.928997486420861e-05,0.0005797101449275255,0.0009613405189435765,0.0007821538365016756,0.0003446291274288457
good_starts,within-race,9.380098855611418e-05,0.00013661268311594886,0.0005797101449275144,0.0011594202898550703,-0.001299825375912289,0.0008615721250088169
historical_market_overperformance_weighted_3_pct_in_race,within-race,0.00031482364826521667,0.0002818836159057217,0.0005797101449274922,0.0018559780398355972,0.00042063170324045386,0.000979613083962687
recent_margin_quality_weighted_3_minus_race_median,within-race,0.00044176775986586313,0.00022826646924207057,0.0005797101449274867,0.0009613405189435746,-0.0005363794820316015,0.0007142094233701899
class_adjusted_finish_percentile_weighted_3_minus_race_median,within-race,7.545361669654138e-05,0.0003783756912715021,0.0005797101449274867,0.001328282810132126,-0.000825106455541219,0.0013543211418754406
similar_distance_finish_percentile_weighted_gap_to_best,within-race,-5.3457053581962286e-05,0.0001423280239755085,0.0005797101449274755,0.0009613405189435814,0.00017634941547987616,0.000436386807910051
hidden_sectional_run_avg_3,within-race,-0.0004859671315864511,0.00020502151217888448,0.0005797101449274755,0.0016138447428493197,-0.0017933765107677525,0.0008459706904070552
jockey_trainer_history_win_excess,within-race,0.0004897161174392984,0.00020928771541995505,0.00057971014492747,0.0014779766706066095,-0.0004855185072575929,0.0010363023932779165
historical_market_overperformance_weighted_3,within-race,0.0002744117518127531,0.00013607444854986012,0.0005797101449274589,0.0011594202898550841,-0.001985250256989329,0.001380017917328016
performance_at_current_or_stronger_class,within-race,0.00047402355892592893,0.0005398333739257474,0.0005797101449274477,0.0016138447428492696,-0.0026945091945091313,0.0010033742601660346
recent_finish_percentile_avg_6,within-race,0.00012233545964298597,0.00010465559579329962,0.000434782608695633,0.0011319202428850198,-0.00017908379864899903,0.0006814214983897919
class_adjusted_finish_percentile_weighted_3_gap_to_best,within-race,-0.00010800739225029777,0.00021419322709271624,0.00043478260869562747,0.0009279890199178033,-0.0022671877237094296,0.00107671501426459
recent_finish_percentile_last_minus_avg3,within-race,0.00044785397544182536,0.00022986765578332418,0.0004347826086956219,0.0015942028985507213,-0.0008277032950945562,0.0012914806667864102
recent_5_total_runners,within-race,-0.0001660771176422382,0.00023282249771080138,0.00043478260869561636,0.0013043478260869599,-0.001250810381245121,0.000867636962890988
sectional_last600_std_6,within-race,-0.0002328501944828254,0.00014599173622932305,0.00043478260869561083,0.002676258740959344,-0.00030617691487251907,0.0011752185562263315
jockey_trainer_history_win_rate,within-race,0.00017506326764583636,0.00010534649399540446,0.00043478260869561083,0.0017209191430489826,-0.0003658249962597337,0.0008013974229959796
recent_finish_percentile_weighted_6_gap_to_best,within-race,6.243032019422889e-05,0.000311719119698029,0.00043478260869561083,0.0013043478260869558,-0.0013859586468281727,0.001546682018748878
recent_finish_percentile_weighted_3,within-race,-0.0001582019289183001,0.0001492349858378346,0.00043478260869560524,0.0014565037132059384,-0.0003173099042663996,0.0011272800539198836
trainer_history_starts,within-race,0.0013412420080258336,0.000752459564193605,0.0004347826086955997,0.005577356928954715,-0.0013985571594266998,0.0019534818685508436
current_class_level,race-block,-6.720030120987985e-05,0.00011384136799340023,0.00043478260869559413,0.0021545027170027007,0.0006613611831003341,0.0004050918689461724
recent_last600_weighted_3,within-race,0.0001833082625833593,8.804419971971807e-05,0.00043478260869559413,0.0011319202428850136,-0.00034587755239924854,0.0003153452162191421
recent_finish_percentile_weighted_6_rank_in_race,within-race,0.0004942125597535818,0.00019690675249721946,0.0004347826086955886,0.0014565037132059377,0.00037775388862348327,0.0010458038296528433
historical_step_down_observations,within-race,-1.9617702746366204e-05,5.0195347661213386e-05,0.00028985507246375163,0.0005797101449275033,2.3276240667596815e-05,7.789744813851758e-05
distance_step_up_pct,within-race,-0.0001023327221891801,6.344693584627819e-05,0.00028985507246375163,0.0005797101449275033,-0.00013436281914537828,0.00017737065028526722
recent_last600_best_6,within-race,-6.650981700778713e-05,0.00012371737390353205,0.00028985507246375163,0.0005797101449275033,-0.0002830510873988668,0.000331929631204967
win_percentage,within-race,9.223437906935583e-05,0.00011335336624214894,0.00028985507246375163,0.0008695652173913105,-0.0007269425421598807,0.0008456355781274277
weight_kg,within-race,3.2315010617178785e-06,0.00018960969883587733,0.0002898550724637461,0.0014199940537873777,0.001199306731915467,0.000592329695473351
recent_5_barrier,within-race,-0.0001013781674423564,0.00017573733052798657,0.000289855072463735,0.0010845383729779635,-0.0002977445260053502,0.001088418833070291
recent_weighted_avg_margin_rank,within-race,0.0005586518762253467,0.0003827250967275941,0.000289855072463735,0.0018101443473618611,-0.001543159336637584,0.0010349588212137076
historical_run_quality_weighted_6,within-race,0.00020595737110118417,0.00016202615956233176,0.00028985507246372946,0.0010845383729779577,0.0002471220406003338,0.00034275048358706564
recent_margin_weighted_6,within-race,0.0005156627802689884,0.00030967234091970933,0.0002898550724637239,0.0019226810378872045,0.000619009412487731,0.0007311701277836034
recent_weighted_avg_place,within-race,-0.0002214877524658654,0.0003966667929063361,0.00028985507246370723,0.0016901309840131374,-8.212439734174292e-05,0.0011245119595301675
recent_finish_percentile_weighted_3_zscore_in_race,within-race,-4.474998503971595e-05,9.022202724343353e-05,0.00028985507246370723,0.0014199940537873515,-0.0005532197271327366,0.0010109371802057815
distance_step_up_m,within-race,3.1448178555215645e-05,0.00012565973215380581,0.00014492753623188137,0.00043478260869564417,0.0002869011021185308,0.0003318273357238565
form_ceiling_finish_percentile_6,within-race,-3.652933806309599e-05,6.922623691211615e-05,0.00014492753623188137,0.00043478260869564417,0.00013474287387331695,0.0006570932762066785
abs_distance_change_last_run,within-race,3.175429686125275e-05,7.570685267787626e-05,0.00014492753623188137,0.00043478260869564417,-0.0009639539204756076,0.00045750274231415647
recent_margin_best_3,within-race,0.00011772082535285166,9.905089830530275e-05,0.00014492753623187581,0.00043478260869562747,0.00014469749252362106,0.0002671022181966833
large_weight_drop_flag,within-race,-3.089864492578087e-06,2.3677763302421243e-05,0.00014492753623187581,0.00043478260869562747,7.533931446995768e-06,4.012799952066766e-05
current_weight_change_pct,within-race,0.0002423925320568121,0.0003307020954653748,0.00014492753623186473,0.0015130878998421036,-0.0015125611103871616,0.0009247971302441881
class_adjusted_finish_percentile_weighted_3_zscore_in_race,within-race,-1.795637578108078e-05,8.400651560490255e-05,0.0001449275362318425,0.001014492753623183,-1.274249100329805e-05,0.0002622831107700982
class_adjusted_finish_percentile_weighted_3_pct_in_race,within-race,-0.00012258416421168095,0.0001282905314446248,0.00014492753623183142,0.001513087899842128,-0.0005409843779408563,0.0008204978920231423
