feature,direction,total_top3_hits,possible_top3_hits,top3_capture_rate,races_with_3_of_3,races_with_2plus_of_3,races_tested,winner_hits,winner_races_tested,winner_hit_rate,winner_rank_total,mean_winner_rank,winner_top3_hits,winner_top3_rate
distance_wins,ASC,24,81,0.2962962962962963,0,6,27,4,27,0.14814814814814814,150,5.555555555555555,7,0.25925925925925924
jockey_trainer_history_starts,ASC,24,81,0.2962962962962963,0,6,27,4,27,0.14814814814814814,144,5.333333333333333,9,0.3333333333333333
career_rank_minus_market_rank,DESC,24,81,0.2962962962962963,0,5,27,3,27,0.1111111111111111,159,5.888888888888889,8,0.2962962962962963
career_seconds,ASC,24,81,0.2962962962962963,0,5,27,2,27,0.07407407407407407,189,7.0,5,0.18518518518518517
distance_starts,ASC,24,81,0.2962962962962963,0,5,27,1,27,0.037037037037037035,165,6.111111111111111,8,0.2962962962962963
historical_run_quality_avg_3,DESC,24,81,0.2962962962962963,0,5,27,3,27,0.1111111111111111,184,6.814814814814815,5,0.18518518518518517
historical_run_quality_best_3,DESC,24,81,0.2962962962962963,0,5,27,0,27,0.0,185,6.851851851851852,6,0.2222222222222222
race_signal_agreement_score,ASC,24,81,0.2962962962962963,0,5,27,6,27,0.2222222222222222,132,4.888888888888889,13,0.48148148148148145
recent_places,DESC,24,81,0.2962962962962963,0,5,27,1,27,0.037037037037037035,208,7.703703703703703,5,0.18518518518518517
prize_money_rank_minus_market_rank,DESC,24,81,0.2962962962962963,0,4,27,0,27,0.0,200,7.407407407407407,4,0.14814814814814814
recent_2_margin,ASC,24,81,0.2962962962962963,0,4,27,0,27,0.0,192,7.111111111111111,6,0.2222222222222222
recent_finish_percentile_slope_3,DESC,24,81,0.2962962962962963,0,4,27,2,27,0.07407407407407407,182,6.7407407407407405,5,0.18518518518518517
recent_max_weight_kg,ASC,24,81,0.2962962962962963,0,4,27,3,27,0.1111111111111111,167,6.185185185185185,10,0.37037037037037035
career_market_rank_abs_gap,ASC,24,81,0.2962962962962963,0,3,27,2,27,0.07407407407407407,183,6.777777777777778,8,0.2962962962962963
distance_step_up_m,ASC,24,81,0.2962962962962963,0,2,27,1,27,0.037037037037037035,183,6.777777777777778,8,0.2962962962962963
distance_step_up_pct,ASC,24,81,0.2962962962962963,0,2,27,1,27,0.037037037037037035,183,6.777777777777778,8,0.2962962962962963
horse_jockey_starts,DESC,24,81,0.2962962962962963,0,2,27,2,27,0.07407407407407407,195,7.222222222222222,8,0.2962962962962963
first_up_win_rate_rank,DESC,23,78,0.2948717948717949,0,5,26,3,26,0.11538461538461539,151,5.8076923076923075,10,0.38461538461538464
first_up_wins,ASC,23,78,0.2948717948717949,0,5,26,3,26,0.11538461538461539,147,5.653846153846154,10,0.38461538461538464
best_run_within_last_2,DESC,23,78,0.2948717948717949,0,3,26,0,26,0.0,174,6.6923076923076925,5,0.19230769230769232
