member,Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
1,96,2,96-2,form_class_level_weighted_3,53.3333321,96-5,96-6,96-6,25.659132,10377.2236,
1,96,3,96-3,recent_similar_distance_speed_rank,10.0,96-7,96-8,96-7,15.3260345,6376.44189,
1,96,4,96-4,recent_last600_best_3,37.75,96-9,96-10,96-9,13.1993408,11076.3311,
1,96,5,96-5,trainer_history_top3_excess,0.0428493544,96-11,96-12,96-11,26.8721504,1666.00854,
1,96,6,96-6,jockey_history_top3_excess,0.0656281412,96-13,96-14,96-14,14.7105684,8711.21582,
1,96,7,96-7,recent_last600_best_3,34.5699997,96-15,96-16,96-16,12.1298599,5986.81641,
1,96,8,96-8,recent_finish_percentile_weighted_6_rank_in_race,3.0,96-17,96-18,96-18,13.5760498,389.625427,
1,96,9,96-9,recent_similar_distance_speed_rank,7.0,96-19,96-20,96-19,13.4515295,10894.6201,
1,96,10,96-10,recent_3_distance_m,1810.0,96-21,96-22,96-21,8.22955036,181.711685,
1,96,11,96-11,jockey_history_top3_excess,0.0326234363,96-23,96-24,96-23,11.0722198,1131.21777,
1,96,12,96-12,recent_weighted_win_rate_rank,2.0,96-25,96-26,96-26,9.40769672,534.79071,
1,96,13,96-13,historical_market_overperformance_slope_3,-0.403846145,96-27,96-28,96-27,18.6474247,6446.02002,
1,96,14,96-14,good_wins,2.0,96-29,96-30,96-30,7.5318861,2265.19531,
1,96,15,96-15,Leaf,,,,,0.0033356559,2921.61646,
1,96,16,96-16,Leaf,,,,,0.00107708445,3065.2002,
1,96,17,96-17,Leaf,,,,,-0.00682703778,221.316101,
1,96,18,96-18,Leaf,,,,,0.00237727724,168.309341,
1,96,19,96-19,Leaf,,,,,0.000557857216,8481.81836,
1,96,20,96-20,Leaf,,,,,-0.00155390135,2412.80127,
1,96,21,96-21,Leaf,,,,,-0.00212568068,117.057091,
1,96,22,96-22,Leaf,,,,,-0.0130635966,64.6546021,
1,96,23,96-23,Leaf,,,,,-0.00804119837,767.507263,
1,96,24,96-24,Leaf,,,,,-0.00262732804,363.710541,
