feature,permutation_scope,auc_drop_mean,auc_drop_sd,top3_hit_drop_mean,top3_hit_drop_sd,top3_mrr_drop_mean,top3_mrr_drop_sd
same_track_distance_runs,within-race,0.00011746813765880492,4.64153390055829e-05,0.0009456264775413281,0.0004728132387706641,0.00011388795076738845,4.563785162813086e-05
recent_finish_percentile_weighted_6_zscore_in_race,within-race,0.00027133254742142123,0.0002667872674546129,0.0009456264775413281,0.000884552573705413,4.3568199596555335e-05,0.0010458921638363068
similar_distance_margin_quality_avg,within-race,5.590415545797534e-06,8.951021169473657e-05,0.000945626477541317,0.001568144108915085,0.00028657447097163447,0.0012120020779260918
recent_avg_starting_price,within-race,3.65456344858961e-05,0.00019299538860548317,0.000945626477541317,0.002632512701101679,-0.0006161923183200079,0.0008163631778043657
recent_weighted_win_rate_rank,within-race,1.7435700212509175e-06,9.856185793686582e-05,0.000945626477541317,0.002292047213908433,-0.0006881121242823252,0.0004514322174738137
distance_step_up_pct,within-race,1.2470085158367006e-05,4.205506217357515e-05,0.0007092198581560294,0.0005790755893104448,0.00036661788434839694,0.00026550638544480773
last3_win_percentage,within-race,-2.0036391892030992e-05,3.580631626624745e-05,0.0007092198581560294,0.0005790755893104448,5.9101654846327455e-05,4.825629910919694e-05
distance_wins,within-race,0.00010062903748833118,5.9675027396885806e-05,0.0007092198581560294,0.0005790755893104448,-0.0007168619402662002,0.000551250085113354
historical_run_quality_avg_3,within-race,9.464884171015431e-05,9.005788118919637e-05,0.0007092198581560294,0.0005790755893104448,-0.0008551194012187069,0.0007111616465710646
prize_money_rank,within-race,0.00011738890238590649,0.0006032529561473183,0.0007092198581560183,0.001920576454996681,-2.4493499670841247e-05,0.0012365252379827555
class_adjusted_finish_percentile_weighted_3,within-race,0.0007234390186482198,0.0002489652149591308,0.0007092198581560072,0.001769105147410851,0.0008110257223732153,0.0011612509991115062
recent_weighted_top3_rate_rank,within-race,-9.432434193548111e-05,7.046338740923748e-05,0.0007092198581560072,0.0016033877028664894,0.0005684675188221356,0.0006320683398608677
form_consistency_finish_percentile_6,within-race,-0.00011039115060662574,0.000285619304306915,0.0007092198581560072,0.002316302357241758,0.0003627827386692428,0.0008019890911359472
similar_distance_finish_percentile_weighted_minus_race_mean,within-race,0.0004351389612553769,0.0002477197165187323,0.0007092198581560072,0.0009456264775413475,0.00034693373345854315,0.0009598472713172624
historical_run_quality_last1,within-race,2.8186366325844148e-05,0.00033570220983518884,0.0007092198581560072,0.0009456264775413615,0.00033856739530496727,0.0009499522981047799
jockey_trainer_recent_top3_excess,within-race,-0.0006050090444072343,0.0004057710291995559,0.0007092198581560072,0.0014184397163120607,-0.0005968814479452966,0.001534063352547378
margin_quality_consistency_6,within-race,0.0006603102560045926,0.00037876451862681637,0.0007092198581559961,0.003707892941219394,0.0017818161612487948,0.0011826082270087754
best_margin_quality_at_stronger_class,within-race,0.0005567433466851845,0.00041912992620598297,0.0007092198581559961,0.003997998705741823,0.00167807369935028,0.0019806024930091736
jockey_trainer_history_smoothed_top3_rate_gap_to_best,within-race,3.397326711407356e-05,0.0001368644125767992,0.0007092198581559961,0.001769105147410826,0.0004086424476495099,0.0010548293745277577
similar_distance_runs,within-race,8.12317616134095e-05,3.698180148491249e-05,0.0007092198581559961,0.0005790755893104177,6.0039776351861195e-05,3.4009977592092624e-05
current_weight_minus_last,within-race,-3.0050429945327474e-05,4.1629494224183094e-05,0.0007092198581559961,0.0005790755893104177,3.5819184755347953e-05,0.00010393120242186679
good_wins,within-race,0.00014842331984248335,6.274363596671407e-05,0.0007092198581559961,0.0012054419653883756,-5.6372574103080717e-05,0.0006081966016145131
recent_last600_best_6,within-race,5.543738770461548e-05,1.643308638278177e-05,0.0007092198581559961,0.0005790755893104177,-0.00012619439924406174,0.00018336967507807725
class_adjusted_finish_percentile_weighted_3_minus_race_mean,within-race,0.00021630052878547358,0.0002773490528425744,0.0007092198581559961,0.0012054419653883758,-0.0002560336957500353,0.00029755360846051975
recent_avg_place,within-race,-0.00035923915559845645,0.0001801622793192607,0.0007092198581559961,0.0017691051474108554,-0.0003846809875178714,0.00037470594496842303
current_barrier_percentile,within-race,0.0005540779295950982,0.00042193331157188243,0.0007092198581559961,0.0021923447979895296,-0.00041313165426642984,0.0012367262963401426
recent_best_speed_mps,within-race,2.1509474313097242e-05,6.476683203234813e-05,0.0007092198581559961,0.0005790755893104177,-0.0006308552230538278,0.000428674352801085
recent_form_vs_career_form,within-race,-0.00034400027317078586,0.00010005454490016983,0.0007092198581559739,0.001205441965388367,0.0004883689990072936,0.0007489352206739181
