feature,coverage,mean_composite_delta,median_composite_delta,worst_composite_delta,best_composite_delta,positive_folds,nonnegative_folds,alpha_sign_consistency,mean_alpha,mean_absolute_alpha,stable_candidate
recent_5_margin,0.8519379738301297,0.00024513623405293395,0.0002656679000672124,-0.002834651102620378,0.002905241877263265,3,3,5,-0.05529027165415219,0.05529027165415219,False
recent_same_track_runs,1.0,0.00024271494568059993,0.0006432519123822367,-0.0012899986937304764,0.0013091441258644698,3,3,5,0.03885285158441573,0.03885285158441573,False
career_win_rate_rank,0.9510450061228141,0.00023354970626530137,0.00035280117496616636,-0.002081609494002823,0.0018657874989940204,3,3,5,-0.07077229202605648,0.07077229202605648,False
recent_weighted_win_rate,0.9820305727926911,0.00023037527353193533,0.0008456800463729763,-0.002426267772697277,0.001824331487675912,3,3,5,0.08855895020297652,0.08855895020297652,False
recent_weighted_win_rate_rank,0.9820305727926911,0.00023037527353193533,0.0008456800463729763,-0.002426267772697277,0.001824331487675912,3,3,5,-0.08855895020297652,0.08855895020297652,False
recent_4_track_status_value,0.4428927200429285,0.0001882305599369527,-3.113541644228501e-05,-0.0009223144648355941,0.0027010009665092705,2,2,5,0.007340008166006558,0.007340008166006558,False
career_thirds,0.9989267876553062,0.00018527068936888825,0.0003344236424434044,-0.002054588713286787,0.002717105490442462,3,3,5,0.0385135709255765,0.0385135709255765,False
recent_2_margin,0.9566862504987685,0.00018126075892122007,0.001066490159525979,-0.001670593344651028,0.0018034541898052092,3,3,5,-0.13198139015681248,0.13198139015681248,False
recent_5_place,0.8519379738301297,0.00017947574466798956,0.00083098591549291,-0.001892910960145544,0.0016331013837188602,3,3,5,-0.05090113270319614,0.05090113270319614,False
distanceFamiliarity,0.4273586593101171,0.00016198679788879123,0.0002160117337095535,-0.00038902210419977656,0.0009878532266933693,3,3,5,0.007548485118718076,0.007548485118718076,False
win_percentage,0.9989267876553062,0.00014578879016873269,-0.0001094775839204365,-0.002081609494002823,0.00188926167739778,2,2,5,0.07185806426144122,0.07185806426144122,False
win_percentage_rank,0.9989267876553062,0.00014578879016873269,-0.0001094775839204365,-0.002081609494002823,0.00188926167739778,2,2,5,-0.07185806426144122,0.07185806426144122,False
recent_weight_range_kg,0.9509624513270684,0.00014340963439585241,-0.00022157906623099244,-0.0007468732929796218,0.0013464564176755012,2,2,5,0.008845004528021042,0.008845004528021042,False
recent_same_distance_runs,1.0,0.00012684690830591094,0.0007044705986740674,-0.0023128427010074004,0.0021194737611499592,3,3,5,0.04974630223080065,0.04974630223080065,False
large_weight_drop_flag,1.0,0.00012581815626633297,3.647505106507687e-05,-4.619364375457735e-05,0.0005991081127870723,3,4,5,-0.036789773707206874,0.036789773707206874,False
prize_money,0.9989267876553062,0.0001244466234260777,0.0003591800697219094,-0.0013079214211939583,0.0017344192524310076,3,3,5,0.0890478757526165,0.0890478757526165,False
prize_money_rank,0.9989267876553062,0.0001244466234260777,0.0003591800697219094,-0.0013079214211939583,0.0017344192524310076,3,3,5,-0.0890478757526165,0.0890478757526165,False
career_seconds,0.9989267876553062,0.00011327638752942626,-7.39512941541065e-05,-0.0008013400622904898,0.0016624132014584347,2,2,5,0.05543501248167193,0.05543501248167193,False
heavy_starts,0.9989267876553062,0.00011283766338401335,0.00010467065001329434,-0.002017884442774176,0.002751634603538111,3,3,5,-0.017972842239500377,0.017972842239500377,False
weight_change_vs_recent_weighted_avg,0.9509624513270684,0.00010530240690111991,0.0001604113345078373,-0.0017584774532979353,0.0013189861838528438,3,3,5,0.04054153654732479,0.04054153654732479,False
recent_days_since_last_run,0.9820305727926911,0.00010130065111535469,0.00027401526743775495,-0.0010627603172416178,0.0009152054853225344,3,3,5,-0.04024595354463906,0.04024595354463906,False
last3_win_percentage,0.9820305727926911,9.680910903528961e-05,0.0005059421397725083,-0.0015154723697772265,0.0011242595140007472,3,3,5,0.08469947755138954,0.08469947755138954,False
last3_win_percentage_rank,0.9820305727926911,9.680910903528961e-05,0.0005059421397725083,-0.0015154723697772265,0.0011242595140007472,3,3,5,-0.08469947755138954,0.08469947755138954,False
track_wins,0.9989267876553062,9.580793092729411e-05,0.0001346733956240076,-0.0004141428608808173,0.0006793147390999899,3,3,5,0.05428038035645377,0.05428038035645377,False
trackFamiliarity,0.21812352949270078,9.043332959302042e-05,0.0005312728245581155,-0.000990156023893518,0.0010000627875617063,3,3,5,0.014138151172088876,0.014138151172088876,False
weight_drop_after_close_run_flag,1.0,8.65068770987465e-05,0.0004083059968140734,-0.0007043277731388908,0.0007153628556483271,3,3,5,0.023748570454607508,0.023748570454607508,False
career_starts,0.9989267876553062,8.594715834724376e-05,0.0004435684386908667,-0.0020275679325707507,0.0015258066557535255,3,3,5,-0.005671262853627895,0.005671262853627895,False
recent_1_total_runners,0.9820305727926911,8.501566573309028e-05,-0.0001001839253651493,-0.0011239910742477655,0.0011949162433767535,2,2,5,0.032158311691573224,0.032158311691573224,False
recent_3_place,0.9240358287813536,8.03276515042528e-05,6.406644634460168e-05,-0.0008278681396298726,0.0010438327812708481,3,3,5,-0.09892236562505827,0.09892236562505827,False
recent_wins,1.0,6.476582606618209e-05,-1.540939051003498e-05,-0.0015441346060578454,0.0013050106877097178,2,2,5,0.07727267906991661,0.07727267906991661,False
track_win_rate_rank,0.5871434664758733,6.25991977127649e-05,0.0005615809151291451,-0.0016506471450342675,0.001024293546613153,3,3,5,-0.05895800413356349,0.05895800413356349,False
distance_starts,0.9989267876553062,5.095356469277945e-05,-0.00021983796094149355,-0.0008089187421687072,0.0015067798565556734,2,2,5,0.007572158054736711,0.007572158054736711,False
good_wins,0.9989267876553062,2.9554514028240497e-05,0.00013625265576799883,-0.001954576973677624,0.0022069142991275603,3,3,5,0.01811247763219106,0.01811247763219106,False
distance_m,1.0,0.0,0.0,0.0,0.0,0,5,0,0.0,0.0,False
field_size,1.0,0.0,0.0,0.0,0.0,0,5,0,0.0,0.0,False
active_field_size,1.0,0.0,0.0,0.0,0.0,0,5,0,0.0,0.0,False
weight_change_vs_recent_avg,0.9509624513270684,-3.0280783764813356e-05,0.0001604113345078373,-0.001816219507991268,0.0018487678203382707,3,3,5,0.04663722722183598,0.04663722722183598,False
second_up_win_rate_rank,0.8928576342547366,-3.7279918356269984e-05,-0.0005217790525899879,-0.0011542972467007973,0.0021280057880613823,1,1,5,-0.054034419112211074,0.054034419112211074,False
age,1.0,-4.784732903022615e-05,7.081670531505768e-05,-0.0022047180554893853,0.0017586930804827094,3,3,5,-0.09134158072697737,0.09134158072697737,False
track_starts,0.9989267876553062,-5.922367895161429e-05,-3.6944159288898604e-05,-0.0010456464918996433,0.0006923759949395425,2,2,5,0.01652125939306046,0.01652125939306046,False
recent_2_total_runners,0.9566862504987685,-6.516039875552604e-05,0.00029219817773284973,-0.001420871378353561,0.0008326825371540725,3,3,5,0.011190786987103926,0.011190786987103926,False
soft_wins,0.9989267876553062,-7.220265147984683e-05,-0.00041970827528414745,-0.0006951216142980776,0.0008644130809022377,2,2,4,-0.0028954721658112116,0.0038438465108746054,False
heavy_wins,0.9989267876553062,-7.551546274913168e-05,0.000499861632825338,-0.001773532240943232,0.0013447119489436998,3,3,5,-0.025547163567834118,0.025547163567834118,False
recent_6_weight_kg,0.6855625421373437,-7.827582380699471e-05,-0.00026998641390019174,-0.0005834929223187402,0.0010225790190454553,1,1,4,0.00310354735856033,0.004151490801223052,False
recent_2_track_status_value,0.4646321495892899,-8.16108223453016e-05,-8.485730223894983e-05,-0.0018975223832159438,0.0008899810843170375,2,2,5,-0.007842638039262873,0.007842638039262873,False
recent_max_weight_kg,0.9509624513270684,-9.154937082016535e-05,2.813576966065323e-05,-0.0012081008195840015,0.0006797269634470915,3,3,5,0.015795397370652175,0.015795397370652175,False
recent_runs_count,1.0,-0.00010297923848954227,-0.00030859065716537515,-0.0004500022186595398,0.0003217849223947633,2,2,5,0.08090936436094767,0.08090936436094767,False
recent_5_distance_m,0.8519379738301297,-0.00010699422465363373,0.0009126880087307887,-0.003550888220025583,0.002197131888078574,3,3,5,-0.025312784031289164,0.025312784031289164,False
recent_min_weight_kg,0.9509624513270684,-0.00010949079809576822,-4.132688172731047e-05,-0.0003794976280648843,0.0001628936202215936,1,1,5,0.01310798161940871,0.01310798161940871,False
form_margin_std_6,0.9566862504987685,-0.00011261415003180897,0.0008289572645873156,-0.0034506823638618123,0.0009947034162437474,4,4,5,-0.14034063153537873,0.14034063153537873,False
weight_kg,1.0,-0.00012300727743275175,-9.897166373040722e-05,-0.00035064127522965727,0.0,0,1,5,0.06526172367529924,0.06526172367529924,False
recent_5_total_runners,0.8519379738301297,-0.00012694867540268272,-4.256078420528109e-05,-0.002048993949860689,0.001713639461602967,2,2,3,-0.002692852517807625,0.0038940148344252952,False
first_up_wins,0.9989267876553062,-0.00012772292841516374,0.00041021890204240297,-0.0014621561553489482,0.0005887214783504291,3,3,5,0.015388116717271763,0.015388116717271763,False
recent_same_condition_runs,0.9997936130106359,-0.00015315499076988813,-0.0003774385903683175,-0.001228046427059537,0.0008630303970488251,2,2,5,0.057333808074208424,0.057333808074208424,False
recent_4_margin,0.8886610988043314,-0.00015929729046040286,-0.0004272300469483348,-0.001940969525042302,0.002210312747426779,2,2,5,-0.09833210766925544,0.09833210766925544,False
recent_3_barrier,0.8847810234042846,-0.00017791385843426432,-0.00042034588332684475,-0.0018333333333332424,0.002079668613205077,2,2,4,0.0010442227266105014,0.0027760334158967023,False
recent_2_distance_m,0.9566862504987685,-0.00019360745423455672,9.384550310209683e-05,-0.002095540628915482,0.0011645376835174304,3,3,3,0.0008951715360456319,0.0024449925537180115,False
recent_4_barrier,0.8511949806684187,-0.00019375181469631907,0.0009626150057530092,-0.004521484715335644,0.0014187557236262638,4,4,5,0.00912167331076191,0.00912167331076191,False
draw_number,1.0,-0.0001980939028337625,-0.0003042535149204717,-0.0025250203695763584,0.0026299175447914713,2,2,5,-0.06354727465093532,0.06354727465093532,False
recent_5_track_status_value,0.4252947894164752,-0.00021191079530451517,4.687528789371065e-05,-0.0023354510690757335,0.0014257738896145122,3,3,5,-0.007787454902680553,0.007787454902680553,False
form_recent_distance_change_ratio,0.9820305727926911,-0.00021329746262106487,-0.00010577566929304005,-0.0012815877198187886,0.001060253202297079,2,2,5,-0.05710474455489549,0.05710474455489549,False
second_up_wins,0.9989267876553062,-0.00024146876491981661,-0.0007782325710844473,-0.001111204634639651,0.001201543898809443,2,2,5,0.04395113502970729,0.04395113502970729,False
form_margin_std_3,0.9566862504987685,-0.00025978121417518095,-0.0006861629565728666,-0.0016477466182284184,0.0016813424936136245,2,2,5,-0.13796731789201525,0.13796731789201525,False
recent_avg_speed_mps,0.9820305727926911,-0.00031187461644255343,0.00017817422084254186,-0.004059283289557847,0.001995612427397875,3,3,5,0.04866673418265609,0.04866673418265609,False
recent_3_weight_kg,0.7761113939377262,-0.0003133394823592317,-0.00028161215794775263,-0.0010595482777894238,0.0003448773455460019,1,1,5,0.022003169948479673,0.022003169948479673,False
first_up_win_rate_rank,0.9510450061228141,-0.0003157532701850485,-0.00024020477741459878,-0.0015270501297388606,0.0009996415264084124,2,2,5,-0.024511498880223574,0.024511498880223574,False
recent_3_distance_m,0.9240358287813536,-0.00032167520678094697,-0.000968808907277019,-0.0017637191814239284,0.0018727273314889104,2,2,5,-0.011604863875756932,0.011604863875756932,False
distance_wins,0.9989267876553062,-0.0003261940920502582,0.0002860265029343001,-0.0030002234655773785,0.0010085616244966955,3,3,5,0.025987285519175434,0.025987285519175434,False
recent_avg_weight_kg,0.9509624513270684,-0.00035038929645001546,0.00020879166756371248,-0.0023566829698109526,0.0007978858038169001,3,3,4,0.008040198750907564,0.008637415543033536,False
