feature,coverage,mean_composite_delta,median_composite_delta,worst_composite_delta,best_composite_delta,positive_folds,nonnegative_folds,alpha_sign_consistency,mean_alpha,mean_absolute_alpha,stable_candidate
recent_2_place,0.9566862504987685,-7.810171124357501e-05,-6.056549897082153e-05,-0.0016286298339648342,0.0020819038312576144,4,4,8,-0.10972626395885376,0.10972626395885376,False
heavy_wins,0.9989267876553062,-9.606698901232225e-05,0.0003535356925257749,-0.001773532240943232,0.0013447119489436998,5,5,8,-0.028517514193880513,0.028517514193880513,False
career_seconds,0.9989267876553062,-0.0001004863161423869,-0.00024940280011709337,-0.0017232999087540835,0.0016624132014584347,3,3,8,0.055879239702966044,0.055879239702966044,False
recent_max_weight_kg,0.9509624513270684,-0.00011092368474616143,-2.9232277992952138e-05,-0.002061180744509672,0.0022784209337690653,4,4,8,0.013472828954045252,0.013472828954045252,False
win_percentage,0.9989267876553062,-0.00011215685913601448,-0.0001660808347155318,-0.002081609494002823,0.00188926167739778,3,3,8,0.07581346996149632,0.07581346996149632,False
win_percentage_rank,0.9989267876553062,-0.00011215685913601448,-0.0001660808347155318,-0.002081609494002823,0.00188926167739778,3,3,8,-0.07581346996149632,0.07581346996149632,False
recent_2_track_status_value,0.4646321495892899,-0.00011279353179320661,-4.2428651119474914e-05,-0.0018975223832159438,0.0008899810843170375,3,4,7,-0.00860880020712154,0.00860880020712154,False
form_recent_distance_change_ratio,0.9820305727926911,-0.00012241328250868488,-0.00010194528421869631,-0.0012815877198187886,0.001060253202297079,3,3,8,-0.061057089557510366,0.061057089557510366,False
recent_2_distance_m,0.9566862504987685,-0.00012446363993366683,0.00015769634016465917,-0.002095540628915482,0.0015861501317715465,5,5,5,0.0014853381795325974,0.002717723222404434,False
weight_kg,1.0,-0.00014192251002805023,-7.988170775274916e-05,-0.0005334893302797461,2.4662128835006847e-05,1,2,8,0.06560774607552441,0.06560774607552441,False
age,1.0,-0.00015757809001695766,-6.981576605463724e-05,-0.0022047180554893853,0.0017586930804827094,4,4,8,-0.09328508716140146,0.09328508716140146,False
recent_best_speed_mps,0.9820305727926911,-0.0001718330552642755,0.0003283133863178911,-0.002389463281484927,0.0022145236967845428,4,4,8,0.050766749127693675,0.050766749127693675,False
recent_best_speed_rank,0.9820305727926911,-0.0001718330552642755,0.0003283133863178911,-0.002389463281484927,0.0022145236967845428,4,4,8,-0.050766749127693675,0.050766749127693675,False
recent_1_distance_m,0.9820305727926911,-0.000185941384186053,-4.9777319334420866e-05,-0.002561118861676981,0.0017648982034939031,3,3,8,0.014586870028618236,0.014586870028618236,False
weight_change_vs_recent_avg,0.9509624513270684,-0.00018678678253968017,-0.00023171924769405106,-0.001816219507991268,0.0018487678203382707,4,4,8,0.051190053134856514,0.051190053134856514,False
form_class_level_weighted_6,0.948926099698675,-0.00018790064415775964,-0.00023188324480671874,-0.0014940170337833791,0.0009446393246788087,3,3,8,0.010480947945444196,0.010480947945444196,False
recent_weighted_win_rate,0.9820305727926911,-0.00019888586784949647,-0.00032710563778132196,-0.002426267772697277,0.001824331487675912,4,4,8,0.09002796253906646,0.09002796253906646,False
recent_weighted_win_rate_rank,0.9820305727926911,-0.00019888586784949647,-0.00032710563778132196,-0.002426267772697277,0.001824331487675912,4,4,8,-0.09002796253906646,0.09002796253906646,False
form_class_level_weighted_3,0.9394047799226737,-0.00020720225742161535,-4.8898732322721905e-06,-0.0011052534677350456,0.0005191421694138443,4,4,8,0.01180005889271551,0.01180005889271551,False
speed_rating,0.9907263446112357,-0.00021395110409128115,-0.0007004840356428788,-0.0024264618892519962,0.0023294270833332797,3,3,8,0.08822597736747037,0.08822597736747037,False
speed_rating_rank,0.9907263446112357,-0.00021395110409128115,-0.0007004840356428788,-0.0024264618892519962,0.0023294270833332797,3,3,8,-0.08822597736747037,0.08822597736747037,False
recent_same_condition_runs,0.9997936130106359,-0.00021440836310628042,-0.0004622669944212565,-0.001228046427059537,0.0008630303970488251,3,3,8,0.059321308617910455,0.059321308617910455,False
second_up_win_rate_rank,0.8928576342547366,-0.00021948571295306307,-0.00030505517590084796,-0.0023244869002330137,0.0021280057880613823,3,3,8,-0.05576987178369315,0.05576987178369315,False
recent_3_track_status_value,0.4562115604232309,-0.00022251258620525904,-1.7631239059345827e-05,-0.0034005647612684875,0.0019132652275252182,3,4,5,-0.0022277231665092773,0.0045298682350181085,False
recent_3_barrier,0.8847810234042846,-0.00022789265389086544,-0.00018159837635506326,-0.002741684804571598,0.002079668613205077,4,4,4,-0.002474406501470788,0.0048620665905377905,False
sectional_last600_seconds_weighted_6,0.8284373753078605,-0.00022851759751053857,-0.00043790556351508414,-0.0012762661684232457,0.0010372286948764353,3,3,8,-0.04751648257381319,0.04751648257381319,False
recentPodium,0.2708485257089393,-0.0002295449689243001,-0.00032703813086554234,-0.0007831471893082753,0.0010649428365974156,2,2,8,0.027301988717565638,0.027301988717565638,False
recent_weight_range_kg,0.9509624513270684,-0.00024408582499001186,-0.0003324806710689465,-0.0023371193016168412,0.0013464564176755012,3,3,8,0.014078496015347976,0.014078496015347976,False
distance_wins,0.9989267876553062,-0.0002743523721228658,-3.539218612252926e-05,-0.0030002234655773785,0.00149887374664881,4,4,8,0.02972048124927011,0.02972048124927011,False
recent_5_distance_m,0.8519379738301297,-0.0002749796318530784,-0.00023235496730505956,-0.003550888220025583,0.002197131888078574,3,3,8,-0.028695424480100117,0.028695424480100117,False
career_starts,0.9989267876553062,-0.0002858986164177152,0.0001501182617124064,-0.003017161246502753,0.0015258066557535255,4,4,6,-0.002879020332972144,0.004779402357006784,False
recent_3_weight_kg,0.7761113939377262,-0.00028676475814559677,-0.0002536869773642203,-0.0015140543325656841,0.0007597724950942908,3,3,8,0.020880650505326503,0.020880650505326503,False
recent_6_place,0.8161642290070034,-0.00029058230287479225,-0.0005206229595458023,-0.0017640428677012654,0.0016909932822513074,4,4,8,-0.05686316450776866,0.05686316450776866,False
soft_starts,0.9989267876553062,-0.00031163835652817107,-0.00041643175729383364,-0.002292092190730677,0.0017140789436904669,3,3,8,-0.012425228867813453,0.012425228867813453,False
recent_5_place,0.8519379738301297,-0.00031185818138279586,-0.0002534406448490012,-0.0019139487746452355,0.0016331013837188602,4,4,8,-0.045929933522654516,0.045929933522654516,False
form_margin_std_6,0.9566862504987685,-0.0003150373118010197,0.00037180500787792337,-0.0034506823638618123,0.0009947034162437474,5,5,8,-0.1395708558211851,0.1395708558211851,False
draw_number,1.0,-0.00031816830073971847,-0.0006966764859142605,-0.0025250203695763584,0.0026299175447914713,3,3,8,-0.06339921223722234,0.06339921223722234,False
distance_starts,0.9989267876553062,-0.0003205876431813942,-0.00045639355923504654,-0.0021243973129813076,0.0015067798565556734,3,3,8,0.010931947593414502,0.010931947593414502,False
recent_same_distance_runs,1.0,-0.00032489008344720183,-0.0005864533484690182,-0.0023128427010074004,0.0021194737611499592,3,3,8,0.0541134253205694,0.0541134253205694,False
place_percentage,0.9989267876553062,-0.0003360462318313523,-0.00012024060361726097,-0.0037072097522262704,0.003874867818494221,4,4,8,0.13946710729839,0.13946710729839,False
place_percentage_rank,0.9989267876553062,-0.0003360462318313523,-0.00012024060361726097,-0.0037072097522262704,0.003874867818494221,4,4,8,-0.13946710729839,0.13946710729839,False
recent_avg_speed_mps,0.9820305727926911,-0.000340984566601088,6.678780806534945e-05,-0.004059283289557847,0.0019992707676370625,4,4,8,0.04776768610944684,0.04776768610944684,False
recent_4_weight_kg,0.746653090989144,-0.000350793789184789,-0.00018540279416329186,-0.0017293357520529185,0.0008588476664990186,4,4,7,0.009719480282187686,0.011079789694645474,False
career_place_rate_rank,0.9510450061228141,-0.00035144082791244147,-0.0003117290562908992,-0.004287016207919714,0.00433524220590209,4,4,8,-0.12685845073153545,0.12685845073153545,False
second_up_wins,0.9989267876553062,-0.0003670129359743396,-0.0005103289608581196,-0.002337708716377729,0.001201543898809443,3,3,8,0.04648375637314913,0.04648375637314913,False
horse_jockey_wins,0.9989267876553062,-0.0003698305005893354,-9.12106755114328e-05,-0.0015655899723706623,0.0002655489996732374,4,4,8,0.08645888725439849,0.08645888725439849,False
career_wins,0.9989267876553062,-0.0004019895329948342,-0.0006040685708809668,-0.0019162312476004306,0.0015417796922363447,2,2,8,0.010523844300727983,0.010523844300727983,False
sectional_last600_seconds_weighted_3,0.8038910827061462,-0.0004277431263935705,-0.0003475294133682416,-0.0016808506161797299,0.0010308625183291786,2,2,8,-0.03776719137143557,0.03776719137143557,False
recent_4_barrier,0.8511949806684187,-0.00043153354453794035,0.00027673504970382456,-0.004521484715335644,0.0014187557236262638,5,5,7,0.007236110652854479,0.007793346552903177,False
class_change_vs_recent_3,0.8178153249219169,-0.0004359893499526202,-0.0004228001121891478,-0.0011979670118213992,0.0001485346862220016,1,1,8,-0.00853778238926441,0.00853778238926441,False
recent_2_margin,0.9566862504987685,-0.000437728931638931,-0.0007271618189322315,-0.0028738232408987985,0.0018034541898052092,4,4,8,-0.13310762269671494,0.13310762269671494,False
sectional_last600_trend,0.6568747506157212,-0.00047877420924845315,-0.0002532704007944253,-0.002069035171688327,0.0006748514783698756,4,4,7,0.007449359935917799,0.007452509625776194,False
