feature,fold,validation_start,validation_end,training_races,validation_races,coverage,alpha,market_composite,adjusted_composite,composite_delta,top3_recall,ndcg3,pairwise_ranking_accuracy
career_starts,6,2026-06-22T05:45:00+00:00,2026-07-03T05:16:00+00:00,5910,500,0.9989267876553062,-0.005832636279660112,0.6023206162626358,0.6038464229183893,0.0015258066557535255,0.5506666666666666,0.5821683003692092,0.7318840579710145
career_starts,7,2026-07-03T05:20:00+00:00,2026-07-11T07:52:00+00:00,6410,500,0.9989267876553062,-0.0020267839569404716,0.6080218701209745,0.6094587971023631,0.001436926981388531,0.5553333333333333,0.5789056109446634,0.748262910798122
career_starts,8,2026-07-11T08:01:00+00:00,2026-07-22T02:07:00+00:00,6910,500,0.9989267876553062,-0.006385652503794148,0.619182764327878,0.6196263327665689,0.0004435684386908667,0.5686666666666667,0.5903802320955708,0.7507917656373714
career_wins,1,2026-05-01T05:26:00+00:00,2026-05-14T06:40:00+00:00,3410,500,0.9989267876553062,0.02565348962919904,0.5991614550260691,0.6000896541288536,0.0009281991027845216,0.5406666666666666,0.5687488873832974,0.7502763957987839
career_wins,2,2026-05-14T06:52:00+00:00,2026-05-23T05:39:00+00:00,3910,500,0.9989267876553062,0.017104492793697464,0.6118636575634334,0.6114807154414942,-0.0003829421219392337,0.5533333333333333,0.5831736427940938,0.7560825523052164
career_wins,3,2026-05-23T05:41:00+00:00,2026-06-03T05:24:00+00:00,4410,500,0.9989267876553062,0.013517314280399638,0.6091878200109806,0.6079352841691485,-0.0012525358418320476,0.5553333333333333,0.5773633128628424,0.7437111571470849
career_wins,4,2026-06-03T05:32:00+00:00,2026-06-13T04:10:01+00:00,4910,500,0.9989267876553062,0.00775935713740824,0.6168040043789969,0.6148877731313964,-0.0019162312476004306,0.556,0.5848940341368197,0.7626570583887657
career_wins,5,2026-06-13T04:12:01+00:00,2026-06-22T05:30:00+00:00,5410,500,0.9989267876553062,0.005103525692476369,0.6051414175132467,0.606683197205483,0.0015417796922363447,0.554,0.5745921638219321,0.744140625
career_wins,6,2026-06-22T05:45:00+00:00,2026-07-03T05:16:00+00:00,5910,500,0.9989267876553062,0.0065700570693796815,0.6023206162626358,0.6016671354678726,-0.0006534807947631283,0.5473333333333333,0.579777383423869,0.7322244917809552
career_wins,7,2026-07-03T05:20:00+00:00,2026-07-11T07:52:00+00:00,6410,500,0.9989267876553062,0.005346301484062442,0.6080218701209745,0.6074672137739757,-0.0005546563469988053,0.5526666666666666,0.5778219067390954,0.7467136150234742
career_wins,8,2026-07-11T08:01:00+00:00,2026-07-22T02:07:00+00:00,6910,500,0.9989267876553062,0.003136216319200984,0.619182764327878,0.6182567156220321,-0.0009260487058458944,0.566,0.5891959044517074,0.7518309580364212
career_seconds,1,2026-05-01T05:26:00+00:00,2026-05-14T06:40:00+00:00,3410,500,0.9989267876553062,0.06180413697411012,0.5991614550260691,0.598736600719989,-0.00042485430608008024,0.5393333333333333,0.5666482639450016,0.7496314722682882
career_seconds,2,2026-05-14T06:52:00+00:00,2026-05-23T05:39:00+00:00,3910,500,0.9989267876553062,0.05490501237045383,0.6118636575634334,0.6101403576546793,-0.0017232999087540835,0.5513333333333333,0.5823802320955705,0.7555145318564802
career_seconds,3,2026-05-23T05:41:00+00:00,2026-06-03T05:24:00+00:00,4410,500,0.9989267876553062,0.053149705870804795,0.6091878200109806,0.6099657017590285,0.0007778817480479372,0.558,0.5796090830546601,0.7442537239814541
career_seconds,4,2026-06-03T05:32:00+00:00,2026-06-13T04:10:01+00:00,4910,500,0.9989267876553062,0.054848479163072936,0.6168040043789969,0.6162667529566295,-0.0005372514223673797,0.558,0.5861789852189792,0.7628880266075388
career_seconds,5,2026-06-13T04:12:01+00:00,2026-06-22T05:30:00+00:00,5410,500,0.9989267876553062,0.053868501991544165,0.6051414175132467,0.6068038307147051,0.0016624132014584347,0.554,0.5753072127397727,0.7439081101190477
career_seconds,6,2026-06-22T05:45:00+00:00,2026-07-03T05:16:00+00:00,5910,500,0.9989267876553062,0.05602531129647334,0.6023206162626358,0.6026371277776364,0.00031651151500067254,0.5486666666666666,0.5811852196019375,0.7320299581752748
career_seconds,7,2026-07-03T05:20:00+00:00,2026-07-11T07:52:00+00:00,6410,500,0.9989267876553062,0.05720359592873356,0.6080218701209745,0.607220530058684,-0.0008013400622904898,0.552,0.5776990216431866,0.7471830985915493
career_seconds,8,2026-07-11T08:01:00+00:00,2026-07-22T02:07:00+00:00,6910,500,0.9989267876553062,0.05522917402853563,0.619182764327878,0.6191088130337239,-7.39512941541065e-05,0.5666666666666667,0.5910730193557985,0.752028899445764
