feature,permutation_scope,auc_drop_mean,auc_drop_sd,top1_drop_mean,top1_drop_sd,mrr_drop_mean,mrr_drop_sd,race_logloss_increase_mean,race_logloss_increase_sd,winner_rank_increase_mean,winner_rank_increase_sd
winningPartnership,within-race,-0.0005156824572788432,0.0003100809211236473,-0.0006666666666666682,0.0032659863237109034,6.679616679617917e-05,0.0016907998532727764,-0.0007905015299132679,0.0007403338202475916,0.007999999999999651,0.007774602526460595
class_adjusted_finish_percentile_weighted_3,within-race,-0.0001665585117889279,0.00040224367975867463,0.001333333333333331,0.0033993463423951913,5.856365856368173e-05,0.0015289312882605405,-0.0007728930968687209,0.0007820470433992775,0.0046666666666663305,0.012036980056845371
recent_4_total_runners,within-race,0.0002649794505731773,0.0007122259435210288,0.0006666666666666655,0.005333333333333336,4.472009472011873e-05,0.002140929594988873,0.0009179757692004742,0.0014327591475105656,-0.0013333333333337195,0.01309792180292566
recent_finish_percentile_weighted_6,within-race,-0.0014698247890979842,0.000628046351461587,-2.7755575615628915e-18,0.0021081851067789197,4.144744144746193e-05,0.0019835643950852472,-0.0023566037213673674,0.0012057486678187666,-0.0026666666666670833,0.015549205052920794
recent_finish_percentile_weighted_6_minus_race_median,within-race,0.002535799264546834,0.0016117934438504796,-0.0013333333333333363,0.003399346342395189,2.3361823361844893e-05,0.003256274678184239,0.003278655240610373,0.0034331140677771738,0.0399999999999995,0.02573367875415821
first_up_wins,within-race,-8.306294613891207e-05,0.00010100854970001435,0.0,0.0,1.5873015873013595e-05,3.1746031746027184e-05,-0.00012553136335595737,0.00018235078956676788,0.0006666666666665932,0.0013333333333331865
best_run_is_last_start,within-race,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
best_run_within_last_2,within-race,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
best_run_within_last_3,within-race,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distance_step_down_pct,within-race,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distance_step_up_m,within-race,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavyGroundPro,within-race,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hotStreak,within-race,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_weight_drop_flag,within-race,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
last3_win_percentage,within-race,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recentPodium,within-race,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recent_margin_quality_best_3,within-race,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recent_runs_count,within-race,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recent_same_distance_runs,within-race,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recent_win_rate_5,within-race,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
same_track_distance_runs,within-race,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
same_track_distance_top3_rate,within-race,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
second_up_wins,within-race,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weight_drop_after_close_run_flag,within-race,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soft_wins,within-race,7.981829980530097e-05,0.00014175205911159922,0.0,0.0,-2.7513227513209504e-05,4.711223537688022e-05,0.0003450097878104685,0.00023649036934862583,-0.0013333333333335417,0.0016329931618557073
recent_2_track_status_value,within-race,-1.0815487778481624e-06,8.347707079871016e-05,0.0,0.0,-3.941798941798913e-05,0.0001287748515940602,-8.396807555310914e-06,0.0001586491757126431,-0.00400000000000027,0.0024944382578493043
weight_change_from_last_run,within-race,6.186459009294154e-05,0.00021306856796840052,-2.7755575615628915e-18,0.0021081851067789197,-4.57671957671546e-05,0.0013194094291941883,0.0002805691244015307,0.0004751869710471435,-5.329070518200751e-16,0.008692269873603461
recent_best_speed_rank,within-race,0.0009255894440838963,0.0005909138128265503,0.002666666666666662,0.0032659863237109064,-5.625115625114141e-05,0.0011489274663313398,0.001094264458229599,0.0008864253080252162,-0.004000000000000448,0.02174600857373329
recent_last600_best_6,within-race,-0.0001624486264330871,0.0002056767976981064,-2.7755575615628915e-18,0.0021081851067789197,-8.745328745325409e-05,0.001008625173213597,-0.00021021893720396534,0.0004199462368583339,-0.004666666666667041,0.00541602560309081
distance_wins,within-race,6.251351935966376e-05,0.00016321054844764413,0.0,0.0,-0.00010211640211640338,0.00031364372461670166,0.00019885064337570312,0.00028900709044542684,0.001333333333333009,0.004988876515698324
historical_implied_probability_weighted_6,within-race,0.0012658446895954967,0.0007947800325291265,-0.0013333333333333391,0.003999999999999999,-0.00011988936988932553,0.00272114520381395,0.0010939724163478103,0.0016613019261711237,0.031999999999999675,0.0148473716342134
recent_4_track_status_value,within-race,0.0003287908284663299,0.00012345394890343295,-0.0006666666666666682,0.0013333333333333363,-0.00012280497280494628,0.0005748397534998667,0.0007562553723939658,0.00034133202587500284,0.017333333333333024,0.005734883511361759
sectional_average_6,within-race,-0.0006532554618213116,0.0006589659342808775,-5.551115123125783e-18,0.0029814239699997203,-0.00015241055241050906,0.0013889449089742505,-0.0009941087394207849,0.0014644709698404255,0.013999999999999346,0.01062491830033943
recent_5_track_status_value,within-race,0.0002831494700410886,0.0001520696043075827,-0.0013333333333333363,0.0016329931618554558,-0.00019492544492544228,0.0008676353154255716,0.0005389602495804446,0.0002725124606871595,0.01333333333333293,0.0036514837167010293
historical_run_quality_best_3,within-race,-0.00028293316028555894,0.00016229662003431394,-0.0020000000000000044,0.0016329931618554558,-0.0002068302068301886,0.0008929253694398452,-0.0007511401905648362,0.0003704944124126632,0.011333333333332796,0.007180219742846073
recent_max_weight_kg,within-race,-0.0011553104044992545,0.0005319471635596819,-2.7755575615628915e-18,0.00557773351022717,-0.00021473341473340345,0.003166866231064478,-0.0019595670629509064,0.00048308184526367655,0.000666666666666238,0.019367785395112077
sectional_last600_seconds_weighted_6,within-race,0.00038546398442564913,0.0002349890664343899,-2.7755575615628915e-18,0.0021081851067789197,-0.00021827801827801753,0.001356066626337466,0.0008303226684191145,0.0004756874066081433,0.0033333333333329662,0.005577733510227087
recent_avg_margin,within-race,-0.0007345879299156532,0.0004585600501434769,0.001333333333333331,0.001632993161855449,-0.0002389129389129163,0.0010248706082252972,-0.0006115779585755376,0.0008800120547957014,-0.004666666666667041,0.010241527663824782
