phase,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,objective_value,a0_weight,a1_weight,c1_weight,c2_weight,c3_weight,b1_weight,b2_weight,b3_weight,b4_weight,b5_weight,b6_weight
global_simplex,0.3469868173258004,0.7099811676082862,0.5596037507363387,2.8992467043314503,0.7099811676082862,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.429,0.428
global_simplex,0.3422787193973635,0.71045197740113,0.5574827419062904,2.8940677966101696,0.71045197740113,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.571,0.286
global_simplex,0.3413370998116761,0.7093926553672316,0.5565191048815649,2.9034839924670433,0.7093926553672316,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.714,0.143
global_simplex,0.3403954802259887,0.7064500941619586,0.554354284584683,2.9263182674199624,0.7064500941619586,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.857,0.0
global_simplex,0.3419256120527307,0.685852165725047,0.5503823002366401,3.022834274952919,0.685852165725047,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.143,0.0,0.714
global_simplex,0.3433380414312618,0.6995056497175142,0.554341211434252,2.967749529190207,0.6995056497175142,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.143,0.143,0.571
global_simplex,0.3438088512241055,0.7076271186440678,0.5570109742867481,2.9197269303201505,0.7076271186440678,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.143,0.286,0.428
global_simplex,0.3465160075329567,0.7095103578154426,0.5590511957831847,2.8984227871939736,0.7095103578154426,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.143,0.428,0.286
global_simplex,0.3422787193973635,0.7071563088512242,0.5568179587335621,2.897716572504708,0.7071563088512242,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.143,0.571,0.143
global_simplex,0.3413370998116761,0.7052730696798494,0.5556020868256001,2.9107815442561207,0.7052730696798494,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.143,0.714,0.0
global_simplex,0.3382768361581921,0.6896186440677966,0.5485071579262936,3.012123352165725,0.6896186440677966,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.286,0.0,0.571
global_simplex,0.3379237288135593,0.6991525423728814,0.551397160657399,2.963629943502825,0.6991525423728814,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.286,0.143,0.428
global_simplex,0.3374529190207156,0.701153483992467,0.5525652486898939,2.932674199623352,0.701153483992467,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.286,0.286,0.285
global_simplex,0.3394538606403013,0.7039783427495292,0.5535029984270774,2.9246704331450095,0.7039783427495292,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.286,0.428,0.143
global_simplex,0.3369821092278719,0.7017419962335216,0.5516693967258909,2.928672316384181,0.7017419962335216,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.286,0.571,0.0
global_simplex,0.3310969868173258,0.6850282485875706,0.5439418480334783,3.01271186440678,0.6850282485875706,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.428,0.143,0.286
global_simplex,0.3280367231638418,0.6879708097928436,0.5435289879807876,2.992467043314501,0.6879708097928436,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.428,0.286,0.143
global_simplex,0.3287429378531073,0.6819679849340866,0.5408889030578635,3.051553672316384,0.6819679849340866,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.429,0.0,0.428
global_simplex,0.3295668549905838,0.6895009416195856,0.5437724895749236,2.9899952919020714,0.6895009416195856,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.429,0.428,0.0
global_simplex,0.3129708097928437,0.6667843691148776,0.5272919930626491,3.1360640301318266,0.6667843691148776,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.571,0.0,0.286
global_simplex,0.3130885122410546,0.6656073446327684,0.528438466710887,3.114524482109228,0.6656073446327684,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.571,0.143,0.143
