model,member,importance_type,feature,value
a0,1,cover,market_total_abs_movement,1363.618896484375
a0,1,cover,market_implied_prob_change_open_to_fluc2,3871.039306640625
a0,1,cover,market_implied_prob_change_fluc1_to_fluc2,741.93603515625
a0,1,cover,recent_best_speed_mps,887.8818359375
a0,1,cover,recent_best_similar_distance_speed_mps,2483.320556640625
a0,1,cover,recent_avg_similar_distance_speed_mps,4269.4150390625
a0,1,cover,recent_weighted_avg_place,653.1119384765625
a0,1,cover,recent_weighted_top3_rate,31.6885929107666
a0,1,cover,recent_finish_percentile_weighted,918.3963012695312
a0,1,cover,recent_market_edge_weighted,538.327392578125
a0,1,cover,recent_avg_weight_kg,3124.76806640625
a0,1,cover,recent_weighted_avg_weight_kg,6660.64599609375
a0,1,cover,recent_max_weight_kg,2785.12060546875
a0,1,cover,open_price_rank,8140.3115234375
a0,1,cover,fluc1_price_rank,7032.15673828125
a0,1,cover,fluc2_price_rank,8021.5009765625
a0,1,cover,win_percentage_rank,103.071044921875
a0,1,cover,place_percentage_rank,1047.09228515625
a0,1,cover,recent_weighted_avg_place_rank,3070.67138671875
a0,1,cover,recent_weighted_win_rate_rank,1224.572998046875
a0,1,cover,race_consensus_score,4596.67919921875
a0,1,cover,race_consensus_rank,4206.4462890625
a0,1,cover,career_win_rate_rank,697.6260986328125
a0,1,cover,career_place_rate_rank,413.501220703125
a0,1,cover,first_up_win_rate_rank,753.5457763671875
a0,1,cover,race_overlay_rank,408.8565368652344
a0,1,cover,race_signal_agreement_score,177.6394500732422
a0,1,cover,race_signal_agreement_rank,806.488525390625
a0,1,cover,sectional_last600_seconds_weighted_3,3529.346435546875
a0,1,cover,sectional_last600_seconds_weighted_6,3166.871826171875
a0,1,cover,sectional_last600_std_6,49.09576416015625
a0,1,cover,sectional_last600_trend,563.6533813476562
a0,1,cover,sectional_closing_speed_ratio_weighted_6,797.3818359375
a0,1,cover,form_class_level_weighted_3,679.7528076171875
a0,1,cover,class_change_vs_recent_3,32.28300857543945
a0,1,cover,jockey_history_starts,1309.6654052734375
a0,1,cover,jockey_history_top3_excess,1227.7525634765625
a0,1,cover,jockey_recent_top3_excess,2354.889892578125
a0,1,cover,trainer_history_starts,554.5850219726562
a0,1,cover,trainer_history_top3_excess,1294.56591796875
a0,1,cover,jockey_trainer_history_starts,179.2236785888672
a0,1,cover,jockey_trainer_history_top3_excess,52.309085845947266
a0,1,cover,recent_1_starting_price,749.6339721679688
a0,1,cover,recent_finish_percentile_last1,1211.8125
a0,1,cover,recent_finish_percentile_avg_3,355.68048095703125
a0,1,cover,recent_finish_percentile_best_3,303.6894836425781
a0,1,cover,recent_finish_percentile_slope_3,711.8733520507812
